"Equipment Item","Type","Availability","Base Effect","Crafting Cost"
"[Automatic turret](https://alien-food-invasion.fandom.com/wiki/Automatic_turret)","Tool","0 stars","10/60 * damage, 10s, 3x use","10 A.S."
"[Bomb with timer](https://alien-food-invasion.fandom.com/wiki/Bomb_with_timer)","Tool","10 stars","10/6 * damage, 2.0s, 3x use","15 A.S."
"[Weapon extension](https://alien-food-invasion.fandom.com/wiki/Weapon_extension)","Weapon improvement","20 stars","10% increased range","20 A.S."
"[Decoy](https://alien-food-invasion.fandom.com/wiki/Decoy)","Tool","30 stars","10/60 * damage, 10s, 3x use","2 A.T. + 25 A.S."
"[Elementary-O-Mat](https://alien-food-invasion.fandom.com/wiki/Elementary-O-Mat)","Weapon improvement","50 stars","50% increased duration","7 A.T. + 35 A.S."
"[Alien scarecrow](https://alien-food-invasion.fandom.com/wiki/Alien_scarecrow)","Tool","60 stars","5s, 2x use","10 A.T. + 40 A.S."
"[Body shield](https://alien-food-invasion.fandom.com/wiki/Body_shield)","Armor improvement","70 stars","25% protection","12 A.T. + 45 A.S. + 1 R.A.S."
"[Turbo charger](https://alien-food-invasion.fandom.com/wiki/Turbo_charger)","Weapon improvement","80 stars","10% faster charge","15 A.T. + 50 A.S. + 2 R.A.S."
"[Rocket boots](https://alien-food-invasion.fandom.com/wiki/Rocket_boots)","Armor improvement","100 stars","5% faster movement","25 A.T. + 70 A.S. + 7 R.A.S."
"[Pot vacuum](https://alien-food-invasion.fandom.com/wiki/Pot_vacuum)","Weapon improvement","120 stars","25% increased range","35 A.T. + 90 A.S. + 12 R.A.S. + 1 L.A.S."
"[Plasma shield](https://alien-food-invasion.fandom.com/wiki/Plasma_shield)","Armor improvement","130 stars","25% protection","40 A.T. + 100 A.S. + 15 R.A.S. + 2 L.A.S."
"[Vampire attachment](https://alien-food-invasion.fandom.com/wiki/Vampire_attachment)","Weapon improvement","150 stars","1.0% life per hit","50 A.T. + 120 A.S. + 20 R.A.S. + 3 L.A.S."
"[Cold generator](https://alien-food-invasion.fandom.com/wiki/Cold_generator)","Armor improvement","160 stars","20% slowed down aliens","55 A.T. + 130 A.S. + 22 R.A.S. + 4 L.A.S."
"[Acid shield](https://alien-food-invasion.fandom.com/wiki/Acid_shield)","Armor improvement","170 stars","25% protection","60 A.T. + 140 A.S. + 25 R.A.S. + 4 L.A.S."
"[Medipack](https://alien-food-invasion.fandom.com/wiki/Medipack)","Tool","180 stars","25% healing, 2x use","65 A.T. + 150 A.S. + 27 R.A.S. + 5 L.A.S."
